id,text
FOODON:03302045,CHEBI:52492
FOODON:03302045,CHEBI:52741
FOODON:03302045,CHEBI:5705
FOODON:03302045,CHEBI:5870
FOODON:03302045,CHEBI:60607
FOODON:03302045,CHEBI:63956
FOODON:03302045,CHEBI:6482
FOODON:03302045,CHEBI:6651
FOODON:03302045,CHEBI:67113
FOODON:03302045,CHEBI:6790
FOODON:03302045,CHEBI:6835
FOODON:03302045,CHEBI:6902
FOODON:03302045,CHEBI:6910
FOODON:03302045,CHEBI:70721
FOODON:03302045,CHEBI:73163
FOODON:03302045,CHEBI:73244
FOODON:03302045,CHEBI:75281
FOODON:03302045,CHEBI:7858
FOODON:03302045,CHEBI:78780
FOODON:03302045,CHEBI:79736
FOODON:03302045,CHEBI:81745
FOODON:03302045,CHEBI:81750
FOODON:03302045,CHEBI:81762
FOODON:03302045,CHEBI:81763
FOODON:03302045,CHEBI:81773
FOODON:03302045,CHEBI:81815
FOODON:03302045,CHEBI:81822
FOODON:03302045,CHEBI:81843
FOODON:03302045,CHEBI:81853
FOODON:03302045,CHEBI:81884
FOODON:03302045,CHEBI:81907
FOODON:03302045,CHEBI:81931
FOODON:03302045,CHEBI:81974
FOODON:03302045,CHEBI:81988
FOODON:03302045,CHEBI:82025
FOODON:03302045,CHEBI:82029
FOODON:03302045,CHEBI:82036
FOODON:03302045,CHEBI:82041
FOODON:03302045,CHEBI:82041
FOODON:03302045,CHEBI:82041
FOODON:03302045,CHEBI:84033
FOODON:03302045,CHEBI:8489
FOODON:03302045,CHEBI:86644
FOODON:03302045,CHEBI:8866
FOODON:03302045,CHEBI:8939
FOODON:03302045,CHEBI:9339
FOODON:03302045,CHEBI:9447
FOODON:03302045,CHEBI:9678
FOODON:00003405,CHEBI:132300
FOODON:00003405,CHEBI:133997
FOODON:00003405,CHEBI:134069
FOODON:00003405,CHEBI:26833
FOODON:00003405,CHEBI:28909
FOODON:00003405,CHEBI:3093
FOODON:00003405,CHEBI:3390
FOODON:00003405,CHEBI:34631
FOODON:00003405,CHEBI:34714
FOODON:00003405,CHEBI:34905
FOODON:00003405,CHEBI:34911
FOODON:00003405,CHEBI:34936
FOODON:00003405,CHEBI:35027
FOODON:00003405,CHEBI:3639
FOODON:00003405,CHEBI:38449
FOODON:00003405,CHEBI:38473  
FOODON:00003405,CHEBI:38630
FOODON:00003405,CHEBI:38640
FOODON:00003405,CHEBI:38729
FOODON:00003405,CHEBI:38735
FOODON:00003405,CHEBI:38798
FOODON:00003405,CHEBI:39098
FOODON:00003405,CHEBI:39163
FOODON:00003405,CHEBI:39178
FOODON:00003405,CHEBI:39183
FOODON:00003405,CHEBI:39185
FOODON:00003405,CHEBI:39211
FOODON:00003405,CHEBI:39214
FOODON:00003405,CHEBI:39233
FOODON:00003405,CHEBI:39291
FOODON:00003405,CHEBI:39311
FOODON:00003405,CHEBI:39314
FOODON:00003405,CHEBI:39325
FOODON:00003405,CHEBI:39334
FOODON:00003405,CHEBI:39346
FOODON:00003405,CHEBI:39381
FOODON:00003405,CHEBI:39385
FOODON:00003405,CHEBI:4034
FOODON:00003405,CHEBI:4045
FOODON:00003405,CHEBI:40909
FOODON:00003405,CHEBI:52492
