id	subject	predicate	object	category	relation	provided_by	source
uuid:5180545e-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:39285	biolink:Association			usda_acup
uuid:51806660-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:39290	biolink:Association			usda_acup
uuid:518077cc-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:39291	biolink:Association			usda_acup
uuid:518089a6-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:39300	biolink:Association			usda_acup
uuid:51809a86-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:39314	biolink:Association			usda_acup
uuid:5180abb6-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:39315	biolink:Association			usda_acup
uuid:5180bc00-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:39323	biolink:Association			usda_acup
uuid:5180cc5e-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:39325	biolink:Association			usda_acup
uuid:5180dcc6-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:39326	biolink:Association			usda_acup
uuid:5180ed1a-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:39329	biolink:Association			usda_acup
uuid:5180ff9e-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:39334	biolink:Association			usda_acup
uuid:51811056-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:39346	biolink:Association			usda_acup
uuid:51812262-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:39353	biolink:Association			usda_acup
uuid:51813446-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:39381	biolink:Association			usda_acup
uuid:518147ce-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:39385	biolink:Association			usda_acup
