document_id	matched_term	object_label	object_id
1105	retinol	all-trans-retinol	CHEBI:17336
1106	vitamin	vitamin (role)	CHEBI:33229
1106	vitamin a	vitamin a	CHEBI:12777
1106	vitamin a	all-trans-retinol	CHEBI:17336
1106	a	l-alanine residue	CHEBI:46217
1106	a	l-alanine	CHEBI:16977
1106	a	acceptor	CHEBI:15339
1106	a	adenine	CHEBI:16708
1106	a	adenosine residue	CHEBI:62885
1106	a	alanine	CHEBI:16449
1106	a	hydrogen acceptor	CHEBI:13193
1107	carotene	carotene	CHEBI:23042
1107	beta	electron	CHEBI:10545
1108	carotene	carotene	CHEBI:23042
1108	alpha	alpha-particle	CHEBI:30216
1109	vitamin	vitamin (role)	CHEBI:33229
1109	vitamin e	vitamin e	CHEBI:33234
1109	alpha-tocopherol	alpha-tocopherol	CHEBI:22470
1109	tocopherol	tocopherol	CHEBI:27013
1109	vitamin e	(r,r,r)-alpha-tocopherol	CHEBI:18145
1109	e	l-glutamic acid residue	CHEBI:29972
1109	e	l-glutamic acid	CHEBI:16015
1109	e	glutamic acid	CHEBI:18237
1109	alpha	alpha-particle	CHEBI:30216
1109	alpha-tocopherol	(r,r,r)-alpha-tocopherol	CHEBI:18145
1110	vitamin	vitamin (role)	CHEBI:33229
1110	vitamin d	vitamin d	CHEBI:27300
1110	vitamin d	24,25-dihydroxyvitamin d	CHEBI:89324
1110	d	l-aspartic acid residue	CHEBI:29958
1110	d	l-aspartic acid	CHEBI:17053
1110	d	aspartic acid	CHEBI:22660
1110	d	deuterium atom	CHEBI:29237
1110	d	dihydrouridine	CHEBI:23774
1110	d2	dideuterium	CHEBI:29294
1110	d2	glytoucan g14548zl	CHEBI:156581
1110	d2	glytoucan g97938zk	CHEBI:146251
1111	vitamin	vitamin (role)	CHEBI:33229
1111	vitamin d	vitamin d	CHEBI:27300
1111	vitamin d2	vitamin d2	CHEBI:28934
1111	vitamin d	24,25-dihydroxyvitamin d	CHEBI:89324
1111	d	l-aspartic acid residue	CHEBI:29958
1111	d	l-aspartic acid	CHEBI:17053
1111	d	aspartic acid	CHEBI:22660
1111	d	deuterium atom	CHEBI:29237
1111	d	dihydrouridine	CHEBI:23774
1111	d2	dideuterium	CHEBI:29294
1111	d2	glytoucan g14548zl	CHEBI:156581
1111	d2	glytoucan g97938zk	CHEBI:146251
1111	ergocalciferol	vitamin d2	CHEBI:28934
1112	vitamin	vitamin (role)	CHEBI:33229
1112	vitamin d	vitamin d	CHEBI:27300
1112	vitamin d	24,25-dihydroxyvitamin d	CHEBI:89324
1112	vitamin d3	calciol	CHEBI:28940
1112	d	l-aspartic acid residue	CHEBI:29958
1112	d	l-aspartic acid	CHEBI:17053
1112	d	aspartic acid	CHEBI:22660
1112	d	deuterium atom	CHEBI:29237
1112	d	dihydrouridine	CHEBI:23774
1112	cholecalciferol	calciol	CHEBI:28940
1113	25-hydroxycholecalciferol	calcidiol	CHEBI:17933
1113	hydroxycholecalciferol	hydroxycalciol	CHEBI:47042
1114	vitamin	vitamin (role)	CHEBI:33229
1114	vitamin d	vitamin d	CHEBI:27300
1114	vitamin d	24,25-dihydroxyvitamin d	CHEBI:89324
1114	d	l-aspartic acid residue	CHEBI:29958
1114	d	l-aspartic acid	CHEBI:17053
1114	d	aspartic acid	CHEBI:22660
1114	d	deuterium atom	CHEBI:29237
1114	d	dihydrouridine	CHEBI:23774
1114	d2	dideuterium	CHEBI:29294
1114	d2	glytoucan g14548zl	CHEBI:156581
1114	d2	glytoucan g97938zk	CHEBI:146251
1116	phytoene	phytoene	CHEBI:26119
1116	phytoene	all-trans-phytoene	CHEBI:8191
1117	phytofluene	phytofluene	CHEBI:26120
1117	phytofluene	all-trans-phytofluene	CHEBI:28129
1117	phytofluene	15-cis-phytofluene	CHEBI:35165
1120	cryptoxanthin	beta-cryptoxanthin	CHEBI:10362
1120	beta	electron	CHEBI:10545
1122	lycopene	lycopene	CHEBI:15948
1123	lutein	lutein	CHEBI:28838
1123	zeaxanthin	zeaxanthin	CHEBI:27547
1124	vitamin	vitamin (role)	CHEBI:33229
1124	vitamin e	vitamin e	CHEBI:33234
1124	label	label	CHEBI:35209
1124	vitamin e	(r,r,r)-alpha-tocopherol	CHEBI:18145
1124	e	l-glutamic acid residue	CHEBI:29972
1124	e	l-glutamic acid	CHEBI:16015
1124	e	glutamic acid	CHEBI:18237
1125	tocopherol	tocopherol	CHEBI:27013
1125	beta	electron	CHEBI:10545
1126	tocopherol	tocopherol	CHEBI:27013
1126	gamma	photon	CHEBI:30212
1127	tocopherol	tocopherol	CHEBI:27013
1128	tocotrienol	tocotrienol	CHEBI:33235
1128	alpha	alpha-particle	CHEBI:30216
1129	tocotrienol	tocotrienol	CHEBI:33235
1129	beta	electron	CHEBI:10545
1130	tocotrienol	tocotrienol	CHEBI:33235
1130	gamma	photon	CHEBI:30212
1131	tocotrienol	tocotrienol	CHEBI:33235
1137	boron	boron atom	CHEBI:27560
1137	boron	diboron	CHEBI:51707
1137	boron	elemental boron	CHEBI:33609
1137	b	boron atom	CHEBI:27560
1146	ni	n-iodosuccinimide	CHEBI:53204
1146	nickel	nickel atom	CHEBI:28112
1146	ni	asn-ile	CHEBI:141421
1146	ni	nickel atom	CHEBI:28112
1162	vitamin	vitamin (role)	CHEBI:33229
1162	vitamin c	vitamin c	CHEBI:176783
1162	ascorbic acid	ascorbic acid	CHEBI:22652
1162	acid	acid	CHEBI:37527
1162	vitamin c	l-ascorbate	CHEBI:38290
1162	vitamin c	l-ascorbic acid	CHEBI:29073
1162	c	l-cysteine residue	CHEBI:29950
1162	c	l-cysteine	CHEBI:17561
1162	c	carbon atom	CHEBI:27594
1162	c	cysteine	CHEBI:15356
1162	c	cytidine residue	CHEBI:64656
1162	c	cytosine	CHEBI:16040
1162	ascorbic acid	l-ascorbic acid	CHEBI:29073
1165	thiamin	vitamin b1	CHEBI:26948
1165	thiamin	thiamine(1+) chloride	CHEBI:33283
1165	thiamin	thiamine(1+)	CHEBI:18385
1166	riboflavin	riboflavin	CHEBI:17015
1166	riboflavin	riboflavin(1-)	CHEBI:57986
1167	niacin	nicotinic acid	CHEBI:15940
1167	niacin	nicotinamide	CHEBI:17154
1170	pantothenic acid	pantothenic acid	CHEBI:7916
1170	acid	acid	CHEBI:37527
1170	pantothenic acid	(r)-pantothenic acid	CHEBI:46905
1175	vitamin	vitamin (role)	CHEBI:33229
1175	vitamin b	b vitamin	CHEBI:75769
1175	vitamin b-6	vitamin b6	CHEBI:27306
1175	b	boron atom	CHEBI:27560
1177	folate	folates	CHEBI:67011
1177	folate	folic acids	CHEBI:37445
1177	folate	folic acid	CHEBI:27470
1177	folate	folate(2-)	CHEBI:62501
1178	vitamin	vitamin (role)	CHEBI:33229
1178	vitamin b	b vitamin	CHEBI:75769
1178	vitamin b-12	cyanocob(iii)alamin	CHEBI:17439
1178	vitamin b-12	vitamin b12	CHEBI:176843
1178	b	boron atom	CHEBI:27560
1180	choline	choline	CHEBI:15354
1180	choline	cholines	CHEBI:23217
1183	vitamin	vitamin (role)	CHEBI:33229
1183	vitamin k	vitamin k	CHEBI:28384
1183	menaquinone	menaquinone	CHEBI:16374
1183	menaquinone-4	menaquinone-4	CHEBI:78277
1183	k	l-lysine residue	CHEBI:29967
1183	k	l-lysine	CHEBI:18019
1183	k	lysine	CHEBI:25094
1183	k	potassium atom	CHEBI:26216
1183	menaquinone	menadione	CHEBI:28869
1184	vitamin	vitamin (role)	CHEBI:33229
1184	vitamin k	vitamin k	CHEBI:28384
1184	k	l-lysine residue	CHEBI:29967
1184	k	l-lysine	CHEBI:18019
1184	k	lysine	CHEBI:25094
1184	k	potassium atom	CHEBI:26216
1185	vitamin	vitamin (role)	CHEBI:33229
1185	vitamin k	vitamin k	CHEBI:28384
1185	phylloquinone	phylloquinone	CHEBI:18067
1185	phylloquinone	phylloquinones	CHEBI:26106
1185	k	l-lysine residue	CHEBI:29967
1185	k	l-lysine	CHEBI:18019
1185	k	lysine	CHEBI:25094
1185	k	potassium atom	CHEBI:26216
1188	methyl	methyl	CHEBI:29309
1188	tetrahydrofolate	tetrahydrofolate	CHEBI:67016
1188	methyl	methyl group	CHEBI:32875
1188	tetrahydrofolate	(6s)-5,6,7,8-tetrahydrofolic acid	CHEBI:15635
1188	tetrahydrofolate	5,6,7,8-tetrahydrofolic acid	CHEBI:20506
1188	tetrahydrofolate	tetrahydrofolic acid	CHEBI:26907
1191	folic acid	folic acid	CHEBI:27470
1191	acid	acid	CHEBI:37527
1191	formyl	formyl group	CHEBI:42485
1192	5-formyltetrahydrofolic acid	5-formyltetrahydrofolic acid	CHEBI:15640
1192	formyltetrahydrofolic acid	formyltetrahydrofolic acid	CHEBI:24099
1192	acid	acid	CHEBI:37527
1194	choline	choline	CHEBI:15354
1194	choline	cholines	CHEBI:23217
1195	choline	choline	CHEBI:15354
1195	choline	cholines	CHEBI:23217
1195	phosphocholine	phosphocholine	CHEBI:18132
1195	phosphocholine	choline phosphate(1-)	CHEBI:295975
1195	phosphocholine	phosphocholine group	CHEBI:55395
1196	choline	choline	CHEBI:15354
1196	choline	cholines	CHEBI:23217
1197	choline	choline	CHEBI:15354
1197	choline	cholines	CHEBI:23217
1197	glycerophosphocholine	glycerophosphocholine	CHEBI:36313
1197	glycerophosphocholine	choline alfoscerate	CHEBI:16870
1197	glycerophosphocholine	glycerylphosphorylcholine	CHEBI:135063
1198	betaine	amino-acid betaine	CHEBI:22860
1198	betaine	onium betaine	CHEBI:35281
1198	betaine	glycine betaine	CHEBI:17750
1199	choline	choline	CHEBI:15354
1199	choline	cholines	CHEBI:23217
1199	sphingomyelin	sphingomyelin	CHEBI:64583
1199	sphingomyelin	sm(d18:0/14:0)	CHEBI:89482
1199	sphingomyelin	sm(d18:0/18:0)	CHEBI:89483
1199	sphingomyelin	sm(d18:0/20:0)	CHEBI:89491
